PEELPECC09,Peel Test - Coated Component,BS EN 10290-02
T01057,Penetrability by Filter Pump,BS EN 14497
PENPEN105,Penetration - 24 hours @ Ambient,BS EN 10290-02
CPC497,Perforation Resistance(Cone Drop),BS EN ISO 13433
AFS089,Peroxide Value,BS EN Titration
CON049,Personal Eye-Protection.Ski Goggles,BS EN 174
ASO158,Petrographic Analysis,BS EN 932-3
ASO255,Petrographic Examination,BS EN 932-3
SPL086,Petrographic Examination,BS EN 12407
T00166,pH,BS EN ISO 10414-1
SPL264,Physical test Suite A,BS EN 196
SPL070,Plastic - Tensile Strength,BS EN ISO 527-3
ASO244,Polished Stone Value (PSV),BS EN 1097-8
CPH407,Potassium oxide (K2O),BS EN 196-2
T00939,Potential Presence of Humus,BS EN 1744-1 Cl 15.1
T00599,Pozzolanicity,BS EN 196-5
ASO272,Preparation and compressive Strength of CBGM Cubes,BS EN 1924
CPH279,Preparation of Concrete Test Specimen,BS EN1766
T00226,Proof Load Test,BS EN ISO 898-2
CPH281,Pull off Strength,BS EN 1542
CPC481,Pull off test,BS EN 1015
CPC482,Pull off test,BS EN 1015
T01176,Pull off test,BS EN 13892-8
CON157,Pull-out Force,BS EN 12504-3
T01118,Puncture (static),BS EN 12730
T00229,Re-bend,BS EN ISO 15630-1
T00231,Re-bend,BS EN ISO 15630-2
T00609,Reactive Calcium Oxide,BS EN 197-1 Cl 3.1
T00610,Reactive Silicon Dioxide (Residue Insoluble in HCl and KOH),BS EN 197-1 Cl 3.2
CON124,Real and Bulk Density,BS EN 772-4
T00225,"Rebar Package (1 Tensile, 1 Bend, 1 Re-bend)",BS EN ISO 15630-1
T00277,Rebound Hammer Testing (Up to 10 Rebound Readings),BS EN 12504-2
CON062,Rebound Number,BS EN 12504-2
T00908,Residual Strength of Shotcrete,BS EN 14488-2
T00830,Residue Insoluble,BS EN 196-2
CPH403,Residue Insoluble,BS EN 196-2
CPH215,Resistance against Corrosion: Conduit Systems for Cable Management,BS EN 61386-1. Cl 14.2
CPH224,Resistance to Acid and Alkaline Liquids,BS EN 14030
SPL479,Resistance to ageing by thermal shock,BS EN 14066
SPL310,Resistance to Deep Abrasion,BS EN 10545-6
CPC336,Resistance to Deep Abrasion - Tiles,BS EN 10545-6
CPH132,Resistance to Deep Abrasion:Tiles,BS EN ISO 10545-6
SPL078,Resistance to HighConcent,BS EN ISO 10545-13
T00505,Resistance to Hydrostatic Head,BS EN 1928
T00499,Resistance to Leaching,BS EN 14415 Method A
T00500,Resistance to Leaching,BS EN 14415 Method B
SPL077,Resistance to Low Concent,BS EN ISO 10545-13
CPC360,Resistance to Salt Crystallization,BS EN 12370-1999
SPL151,Resistance to Salt Crystallization,BS EN 12370
SPL079,Resistance to Stains,BS EN ISO 10545: Pt 14
SPL333,Resistance to Static Loading/ Waterproofing Membrane,BS EN 12370
SPL309,Resistance to Surface Abrasion,BS EN 10545-7
CPH134,Resistance to Surface Abrasion: Tiles,BS EN ISO 10545-7
SPL273,Resistance to Thermal Shock,BS EN ISO 10545-9
SPL375,Roof tiles Cover Width,BS EN 491: 5.3
SPL212,Roofing Tiles - Flatness,"BS EN 491, Cl 5.4"
SPL213,Roofing Tiles - Mass,"BS EN 491, Cl 5.5"
SPL214,Roofing Tiles-Transv. Strength,BS EN 491 5.6
SPL215,Roofing Tiles-Water Impermeability,BS EN 491
SPL010,Rupture & Breaking Strength,BS EN ISO 10545-4
T00877,Sampling,BS EN 12350-1
T00941,Sampling Aggregates,BS EN 932-1
CON312,Sedimentation Test of Grout,ETAG 013 / BS EN 445
T00164,Setting Time,BS EN 480-2
SPL027,Setting Time &Soundness,BS EN 196-3
CPC167,Settling Time,"BS EN 13963, cl 5.2"
T01008,Shape and Dimensions of Clay Pavers,BS EN 1344 Annex B
T01023,"Shape and Dimensions, Thickness of Facing Layer",BS EN 1338 Annex C
T01024,"Shape and Dimensions, Thickness of Facing Layer",BS EN 1340 Annex C
ASO054,Shape Index,BS EN 933-4
ASO213,Shell Content,BS EN 933-7
ASO257,Shell Content,BS EN 933-7
T00160,Shrinkage,BS EN 12808-4
T00820,"Side Length, Edge, Straightness and Squareness of Tiles",BS EN ISO 24342
ASO254,Sieve Analysis,BS EN 933-1
T00593,Sieve Residue,BS EN 196-6
T00879,Sieve segregation test,BS EN 12350-11
T00831,Silicon Dioxide (SiO2),BS EN 196-2
CPH398,Silicon Dioxide (SiO2),BS EN 196-2
SPL491,Single Layer Thickness @ 2 kPa,BS EN ISO 9863-1
RCK005,Site / Lab Sieve Analysis-100mm or greater,BS EN 13383-2
